test_id,course,store_type,query,expected_keywords,precision_at_3,latency_seconds,answer_relevance,faithfulness,answer_preview,precision_detail,relevance_reason,faithfulness_reason,errors
1,Cosc 402 (Information Theory),notes,What are the main topics covered in this course?,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
2,Cosc 402 (Information Theory),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
3,Cosc 402 (Information Theory),exams,Give me a sample past exam question from this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=COSC402 MID SEM 18_19.pdf | Chunk 2: ✅ [(no keywords defined)] src=COSC402 MID SEM 18_19.pdf | Chunk 3: ✅ [(no keywords defined)] src=2ef93aed-70fb-4143-9b25-c362d9bd9006.jpg,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
4,Cosc 423 (Artificial Intelligence),notes,What are the main topics covered in this course?,,1.0,,,,,"Chunk 1: ✅ [(no keywords defined)] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 2: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf | Chunk 3: ✅ [(no keywords defined)] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf",,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
5,Cosc 423 (Artificial Intelligence),notes,Explain the most important concept in this course.,,1.0,,,,,"Chunk 1: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf | Chunk 2: ✅ [(no keywords defined)] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf | Chunk 3: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf",,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
6,Cosc 423 (Artificial Intelligence),exams,Give me a sample past exam question from this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=EXAM 16_17.docx | Chunk 2: ✅ [(no keywords defined)] src=COSC423 MID SEM 19_20 TYPE 3.pdf | Chunk 3: ✅ [(no keywords defined)] src=COSC423 EXAM 18_19.pdf,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
7,Cosc 430 (Hands On Java),notes,What are the main topics covered in this course?,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [(no keywords defined)] src=JAVA SE8 Programming V2.pdf,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
8,Cosc 430 (Hands On Java),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
9,Itgy 307 (Linux Fundamentals),notes,What are the main topics covered in this course?,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=Module-5-Using Linux Text Editors.pptx | Chunk 2: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx | Chunk 3: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
10,Itgy 307 (Linux Fundamentals),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=Module-1-Fundamental of Linux System Administration.pptx | Chunk 2: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx | Chunk 3: ✅ [(no keywords defined)] src=Module-1-Fundamental of Linux System Administration.pptx,,,Latency: Latency error: ConnectError('[Errno 11002] getaddrinfo failed'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
