test_id,course,store_type,query,system_answer,clarity_1_5,accuracy_1_5,helpfulness_1_5,completeness_1_5,overall_1_5,evaluator_comments
1,Cosc 402 (Information Theory),notes,What are the main topics covered in this course?,,,,,,,
2,Cosc 402 (Information Theory),notes,Explain the most important concept in this course.,,,,,,,
3,Cosc 402 (Information Theory),exams,Give me a sample past exam question from this course.,,,,,,,
4,Cosc 423 (Artificial Intelligence),notes,What are the main topics covered in this course?,,,,,,,
5,Cosc 423 (Artificial Intelligence),notes,Explain the most important concept in this course.,,,,,,,
6,Cosc 423 (Artificial Intelligence),exams,Give me a sample past exam question from this course.,,,,,,,
7,Cosc 430 (Hands On Java),notes,What are the main topics covered in this course?,,,,,,,
8,Cosc 430 (Hands On Java),notes,Explain the most important concept in this course.,,,,,,,
9,Itgy 307 (Linux Fundamentals),notes,What are the main topics covered in this course?,,,,,,,
10,Itgy 307 (Linux Fundamentals),notes,Explain the most important concept in this course.,,,,,,,
11,Itgy 307 (Linux Fundamentals),exams,Give me a sample past exam question from this course.,,,,,,,
12,Seng 412 (Internet Technology Php),notes,What are the main topics covered in this course?,,,,,,,
13,Seng 412 (Internet Technology Php),notes,Explain the most important concept in this course.,,,,,,,
14,Seng 412 (Internet Technology Php),exams,Give me a sample past exam question from this course.,,,,,,,
