test_id,course,store_type,query,system_answer,clarity_1_5,accuracy_1_5,helpfulness_1_5,completeness_1_5,overall_1_5,evaluator_comments
1,Cosc 402 (Information Theory),notes,What are the main topics covered in this course?,"Based on the context provided, the course appears to cover the principles of **communication theory** and its applications to various forms of **text**, including reports, papers, memos, books, and scientific data.",,,,,,
2,Cosc 402 (Information Theory),notes,Explain the most important concept in this course.,"The most important concept in this course is **information**, which is understood as a quantifiable entity attached to events in probabilistic experiments or random phenomena. It's central because it dictates how to efficiently encode messages for transmission and understand the possibility of error",,,,,,
3,Cosc 402 (Information Theory),exams,Give me a sample past exam question from this course.,"Here's a sample past exam question from COSC 402 (Information Theory):  ""Suppose DR Charles is the final clearance officer in the academic registry. What is the probability that..."" (The question is incomplete in the provided context).",,,,,,
4,Cosc 423 (Artificial Intelligence),notes,What are the main topics covered in this course?,"The main topics covered in the course are outlined in Figure 1 (page xvi), with solid lines indicating prerequisite relationships between them. The book is structured to allow flexibility in topic order as long as prerequisite requirements are met.",,,,,,
5,Cosc 423 (Artificial Intelligence),notes,Explain the most important concept in this course.,"Based on the provided context, the most important concept in COSC 423 appears to be **understanding the requirements and elements for successful navigation of the course.**  The context highlights the introduction of ""course requirements"" and emphasizing ""various elements that would be required to s",,,,,,
6,Cosc 423 (Artificial Intelligence),exams,Give me a sample past exam question from this course.,"Here's a sample past exam question based on the provided context:  Attempt FOUR questions in all. Question ONE and any other three of your choice.  **Question 1:** An intelligent agent learns from its environment, reasons based on past percepts, and acts based on its current percept. Discuss how all",,,,,,
7,Cosc 430 (Hands On Java),notes,What are the main topics covered in this course?,"The main topics covered in this course are:  *   Core APIs for designing object-oriented applications in Java. *   Writing database programs with JDBC. *   Developing skills for the Oracle Certified Professional, Java SE 8 Programmer Exam.",,,,,,
8,Cosc 430 (Hands On Java),notes,Explain the most important concept in this course.,,,,,,,
9,Itgy 307 (Linux Fundamentals),notes,What are the main topics covered in this course?,,,,,,,
10,Itgy 307 (Linux Fundamentals),notes,Explain the most important concept in this course.,,,,,,,
11,Itgy 307 (Linux Fundamentals),exams,Give me a sample past exam question from this course.,,,,,,,
12,Seng 412 (Internet Technology Php),notes,What are the main topics covered in this course?,,,,,,,
13,Seng 412 (Internet Technology Php),notes,Explain the most important concept in this course.,,,,,,,
14,Seng 412 (Internet Technology Php),exams,Give me a sample past exam question from this course.,,,,,,,
