test_id,course,store_type,query,expected_keywords,precision_at_3,latency_seconds,answer_relevance,faithfulness,answer_preview,precision_detail,relevance_reason,faithfulness_reason,errors
1,Cosc 402 (Information Theory),notes,What are the main topics covered in this course?,,1.0,5.568,4,4,"Based on the provided text, the course likely covers **communication theory** and its applications in handling **text of various forms** and **scientific data**.",Chunk 1: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx,The answer identifies the main topics but could be more specific about the applications in handling text and scientific data.,"The answer accurately identifies 'communication theory' and its applications related to text and scientific data, which are directly mentioned in the context, with a minor reasonable addition of 'handling'. ",
2,Cosc 402 (Information Theory),notes,Explain the most important concept in this course.,,1.0,0.844,3,5,"The most important concept is **information**, defined as a quantity attached to the occurrences of events associated with probabilistic experiments or random phenomena. This concept allows us to efficiently encode messages for transmission and determine the possibility of error-free communication.",Chunk 1: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx,The answer identifies 'information' as the most important concept and provides a definition but does not elaborate on why it is the most important within the context of the course or how it connects to other concepts.,The answer accurately identifies 'information' as the key concept and correctly grounds its definition and applications in the provided context.,
3,Cosc 402 (Information Theory),exams,Give me a sample past exam question from this course.,,1.0,2.43,3,4,"Here's a sample past exam question from COSC 402 (Information Theory) based on the provided context:  ""Suppose DR Charles is the final clearance officer in the academic registry. What is the probability that..."" (The rest of the question is cut off, but it would likely involve calculating probabilit",Chunk 1: ✅ [(no keywords defined)] src=COSC402 MID SEM 18_19.pdf | Chunk 2: ✅ [(no keywords defined)] src=COSC402 MID SEM 18_19.pdf | Chunk 3: ✅ [(no keywords defined)] src=2ef93aed-70fb-4143-9b25-c362d9bd9006.jpg,"The answer provides a partial exam question, but it is incomplete and thus doesn't fully address the user's request for a sample question.","The answer accurately extracts a partial question from the context and correctly identifies the course code and title, but it adds an assumption about the continuation of the question.",
4,Cosc 423 (Artificial Intelligence),notes,What are the main topics covered in this course?,,1.0,5.609,1,5,"The provided text states that Figure 1 (page xvi) shows the topics covered in the book. However, the content of Figure 1 is not included in the given context. Therefore, I cannot list the main topics covered in this course.","Chunk 1: ✅ [(no keywords defined)] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 2: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf | Chunk 3: ✅ [(no keywords defined)] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf","The answer is unable to identify the main topics because the necessary information (Figure 1) was not provided in the context, rendering it unable to fulfill the request.","The answer accurately states that the main topics are shown in Figure 1 but that the figure's content is not provided in the context, correctly concluding that the topics cannot be listed.",
5,Cosc 423 (Artificial Intelligence),notes,Explain the most important concept in this course.,,1.0,1.841,3,5,"Based on the provided context, the most important concept in this course appears to be **understanding the requirements and elements necessary for successful navigation and completion of the course.**  While the context mentions ""identifying a concept"" in relation to examples and computation, and al","Chunk 1: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf | Chunk 2: ✅ [(no keywords defined)] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf | Chunk 3: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf","The answer attempts to identify the most important concept but is vague and relies on assumptions about the 'provided context' which was not actually given, thus it partially answers the question.","The answer accurately identifies the most important concept as understanding course requirements and elements, which is directly supported by the first sentence of the context.",
6,Cosc 423 (Artificial Intelligence),exams,Give me a sample past exam question from this course.,,1.0,2.657,5,4,Here's a sample past exam question based on the provided context:  Attempt FOUR questions in all. Question ONE and any other three of your choice.  a. An intelligent agent learns from its environment. Discuss this statement. [5 Marks],Chunk 1: ✅ [(no keywords defined)] src=EXAM 16_17.docx | Chunk 2: ✅ [(no keywords defined)] src=COSC423 MID SEM 19_20 TYPE 3.pdf | Chunk 3: ✅ [(no keywords defined)] src=COSC423 EXAM 18_19.pdf,The answer provides a relevant sample past exam question and fulfills the request directly.,"The answer is mostly grounded in the context, taking a specific aspect of the provided options and framing it as a discussion question.",
7,Cosc 430 (Hands On Java),notes,What are the main topics covered in this course?,,1.0,67.138,5,5,"The main topics covered in this course are core Java APIs for object-oriented application design, database programming with JDBC, and preparation for the Oracle Certified Professional, Java SE 8 Programmer Exam.",Chunk 1: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [(no keywords defined)] src=JAVA SE8 Programming V2.pdf,The answer directly and clearly lists the main topics covered in the course as requested by the question.,The answer accurately extracts the main topics mentioned in the 'Course Goals' section of the provided context.,
8,Cosc 430 (Hands On Java),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
9,Itgy 307 (Linux Fundamentals),notes,What are the main topics covered in this course?,,1.0,189.609,5,5,"The main topics covered in this course are: deployment and installation, system-user and group administration, basic Linux commands, booting up and shutting down, software management, and process control and management.",Chunk 1: ✅ [(no keywords defined)] src=Module-5-Using Linux Text Editors.pptx | Chunk 2: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx | Chunk 3: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx,The answer directly lists all the main topics covered in the course as requested by the question.,The answer directly lists all the main topics mentioned in the context as requested by the question.,
10,Itgy 307 (Linux Fundamentals),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=Module-1-Fundamental of Linux System Administration.pptx | Chunk 2: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx | Chunk 3: ✅ [(no keywords defined)] src=Module-1-Fundamental of Linux System Administration.pptx,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
11,Itgy 307 (Linux Fundamentals),exams,Give me a sample past exam question from this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=ITGY 307 EXAM 21_22 (IT).pdf | Chunk 2: ✅ [(no keywords defined)] src=ITGY 307 EXAM 21_22 (IT).pdf | Chunk 3: ✅ [(no keywords defined)] src=INSY307 EXAM 14_15.pdf,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
12,Seng 412 (Internet Technology Php),notes,What are the main topics covered in this course?,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=iw3htp4_02_browsers.pdf | Chunk 2: ✅ [(no keywords defined)] src=iw3htp4_02_browsers.pdf | Chunk 3: ✅ [(no keywords defined)] src=iw3htp4_02_browsers.pdf,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
13,Seng 412 (Internet Technology Php),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=INTRODUCTIONPHP.pptx | Chunk 2: ✅ [(no keywords defined)] src=iw3htp4_02_browsers.pdf | Chunk 3: ✅ [(no keywords defined)] src=PHP BASICSLECTURE5.pptx,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
14,Seng 412 (Internet Technology Php),exams,Give me a sample past exam question from this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=SENG412- INSY402 EXAM 18_19.pdf | Chunk 2: ✅ [(no keywords defined)] src=SENG412- INSY402 EXAM 13_14.pdf | Chunk 3: ✅ [(no keywords defined)] src=SENG412- INSY402 EXAM 18_19.pdf,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
