test_id,course,store_type,query,expected_keywords,precision_at_3,latency_seconds,answer_relevance,faithfulness,answer_preview,precision_detail,relevance_reason,faithfulness_reason,errors
1,Cosc 402 (Information Theory),notes,What is entropy in information theory?,"entropy, uncertainty, probability, Shannon, information",1.0,6.087,5,5,"In information theory, entropy is a measure of the uncertainty or disorderliness of a random variable in a communication system, quantifying the amount of information required to represent its possible outcomes. Borrowed from thermodynamics, entropy in this context refers to the amount of uncertaint","Chunk 1: ✅ [entropy, information] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [entropy, uncertainty, Shannon, information] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [entropy, information] src=CSC 402 Information theory3 (2).pptx","Entropy in information theory is defined as a measure of the uncertainty or disorderliness of a random variable in a communication system, quantifying the amount of information required to represent its possible outcomes, providing a fundamental value for a discrete random variable that quantifies the amount of information needed to convey its possible outcomes. It is borrowed from thermodynamics and helps to quantify the amount of uncertainty or randomness in a message or signal, serving as a central concept in information theory to quantify the amount of information required to represent uncertainty or randomness in a communication system.","The provided context explicitly states that entropy in information theory is a measure of uncertainty or disorderliness, and the ANSWER accurately reflects this definition by describing it as a measure of the amount of information required to represent the possible outcomes of a random variable and as a concept borrowed from thermodynamics that quantifies the amount of uncertainty or unpredictability in a communication system. It is also referred to as a measure of disorderliness, aligning with the definition provided in the context.",
2,Cosc 402 (Information Theory),notes,Explain mutual information and when it is used.,"mutual information, joint, probability, entropy",1.0,12.8,5,5,"Mutual information, as introduced by Shannon in his seminal paper on communication theory, measures the amount of reduction in uncertainty of one random variable given knowledge of another. It quantifies the degree to which two variables are related and provides insight into the interdependence betw","Chunk 1: ✅ [probability] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [mutual information, entropy] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [mutual information] src=CSC 402 Information theory3 (2).pptx","Mutual information, as introduced by Shannon in his seminal paper on communication theory, measures the amount of reduction in uncertainty of one random variable given knowledge of another and quantifies the interdependence between variables. It is a crucial concept in information theory with applications in data compression and error correction coding, as it quantifies the reduction in uncertainty of one variable due to knowledge of another. It is calculated as the difference between the joint entropy and the sum of marginal entropies of the variables, providing insight into the relationship between them. It is used to understand the shared information between variables, allowing for more efficient data transmission and improved error correction in communication systems.","Mutual information, as introduced by Shannon in his seminal paper on communication theory, measures the reduction in uncertainty of one random variable given knowledge of another and quantifies the degree to which two variables are related, providing insight into their interdependence. It is a key concept in information theory with practical applications in data compression, error correction coding, and statistical inference. It is calculated as the difference between the joint entropy and the sum of the marginal entropies of the variables, and is used to quantify the amount of information shared between them. While entropy only considers the uncertainty of a single variable, mutual information considers the joint distribution of both variables. As explained in the provided context, it is a quantity attached to random phenomena with prior probability.",
3,Cosc 402 (Information Theory),notes,What is the channel capacity theorem?,"capacity, channel, Shannon, bandwidth, noise",1.0,7.775,5,5,"The channel capacity theorem, as proposed by Claude Shannon, determines the maximum amount of information that can be reliably transmitted over a communication channel with a specified level of error probability, given the channel's bandwidth and signal-to-noise ratio. The formula for channel capaci","Chunk 1: ✅ [capacity, channel, bandwidth] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [capacity, channel, Shannon, bandwidth, noise] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [capacity, channel, Shannon] src=CSC 402 Information theory3 (2).pptx","The channel capacity theorem, proposed by Claude Shannon, determines the maximum amount of reliable information that can be transmitted over a communication channel with a specific error probability, calculated as C = B log2(1 + P/N), where B is the channel's bandwidth and P and N are the signal and noise powers, respectively. It establishes the theoretical limit for error-free communication and guides the design of practical communication systems through error correction and coding techniques, with a score of 5 for fully and clearly answering the question.","The ANSWER accurately reflects the context provided by stating that the channel capacity theorem, as proposed by Claude Shannon, determines the maximum amount of information that can be reliably transmitted over a communication channel with a specified level of error probability, given the channel's bandwidth and signal-to-noise ratio, with the formula C = B log2(1 + P/N, where B is the channel's bandwidth and P and N are the signal and noise powers, respectively. It provides the theoretical limit for error-free communication and sets the fundamental trade-off between transmission rate and reliability, guiding the design of practical communication systems through error correction and coding techniques. The unit for channel capacity is bits per second, representing the highest rate at which data can be transmitted without significant errors occurring in the presence of noise.",
4,Cosc 402 (Information Theory),notes,Define joint entropy and conditional entropy.,"joint entropy, conditional, entropy, probability",1.0,8.951,5,5,"Joint entropy refers to the uncertainty or randomness in two or more variables considered simultaneously, while conditional entropy represents the uncertainty in one variable given knowledge of another variable. In information theory, joint entropy quantifies the overall uncertainty in both variable",Chunk 1: ✅ [entropy] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [entropy] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [entropy] src=CSC 402 Information theory3 (2).pptx,"Joint entropy measures the uncertainty or randomness in two or more variables simultaneously, while conditional entropy represents the remaining uncertainty in one variable after accounting for the knowledge of another variable. It quantifies the overall uncertainty in both variables and is calculated by subtracting the conditional entropy, which is the uncertainty in one variable given the value of the other variable. Shannon's definition of entropy, also known as mutual information, quantifies the reduction in uncertainty in one variable due to knowledge of the other variable, indicating the degree of dependence or correlation between them. This concept is crucial in understanding the interdependence between variables in fields such as communication systems and statistical inference.","Joint entropy measures the uncertainty or randomness in two or more variables considered simultaneously, while conditional entropy represents the remaining uncertainty in one variable after accounting for the information provided by another variable. It quantifies the overall uncertainty in both variables and is essential in understanding the interdependence between variables in fields such as communication systems and statistical inference. Shannon's definition of entropy, also known as mutual information, is a measure of the amount of information shared between two variables, quantifying the reduction in uncertainty in one variable due to knowledge of the other variable in information theory.",
5,Cosc 402 (Information Theory),exams,Give me a past exam question on Shannon's theorem.,"Shannon, entropy, theorem, capacity, information",1.0,9.28,5,3,"In Shannon's information theory, entropy H is a measure of uncertainty or randomness in a source's output symbols, expressed in bits, calculated using the probabilities of its output symbols. It ranges from 0 to the maximum value of log2 of the number of symbols in the source alphabet. The formula f","Chunk 1: ✅ [Shannon, information] src=COSC402 EXAM 18_19.pdf | Chunk 2: ✅ [Shannon] src=COSC402 MID SEM 18_19.pdf | Chunk 3: ✅ [entropy] src=COSC402 PAST QUESTIONS.pdf","Shannon's theorem is a concept in information theory that measures the uncertainty or randomness of a source's output symbols using entropy, calculated as -Σp(i) log2(p(i)), where p(i) is the probability of symbol i. It is a measure that ranges from 0 to the maximum value of log2 of the number of symbols in the source alphabet. The Shannon paradigm involves encoding, channel transmission, and decoding to transmit information reliably with the goal of minimizing errors and maximizing efficiency, with the source, channel, encoder, and decoder involved in the process. The amount of information gained from a message sent at 10:00am is the difference between the source's entropy and the receiver's uncertainty about the message before and after receiving it.","The ANSWER provides a clear explanation of Shannon's theorem and its components, but only briefly mentions the communication system model without elaborating on the encoding and decoding processes. The context mentions the Shannon paradigm and the entities involved, but does not explicitly state their roles in the process. However, it does provide an example of a real-life scenario in an IT organization, which helps to ground the explanation in context.",
6,Cosc 402 (Information Theory),exams,What types of questions appear in COSC 402 exams?,"entropy, probability, channel, information",0.667,7.98,5,5,"In COSC 402 (Information Theory) exams, questions may cover topics such as the mathematical foundations of information theory, including the concepts of entropy, channel capacity, coding theory, and source coding, as well as the principles of data compression and error correction. They may also invo",Chunk 1: ❌ [no match] src=COSC402 MID SEM 18_19.pdf | Chunk 2: ✅ [probability] src=COSC402 MID SEM 18_19.pdf | Chunk 3: ✅ [information] src=2ef93aed-70fb-4143-9b25-c362d9bd9006.jpg,"The answer accurately and comprehensively describes the types of questions that appear in COSC 402 exams, covering topics such as entropy, channel capacity, coding theory, source coding, communication systems, probability distributions, channel models, error correction, mathematical proofs, and performance analysis of coding schemes. It also mentions the practical applications of information theory in wireless networks, digital communication, and signal processing. The response is clear and concise.","Questions in COSC 402 exams may cover topics such as entropy, channel capacity, coding theory, source coding, probability distributions, channel models, communication systems, and error probability calculations. They may also involve practical applications in wireless networks and signal processing. The exams assess the understanding of information transmission and storage limits. The ANSWER faithfully reflects the context provided.",
7,Cosc 423 (Artificial Intelligence),notes,What is an intelligent agent in AI?,"agent, environment, percept, action, rational",1.0,12.973,5,5,"An intelligent agent in AI is a computational system that manipulates symbols to determine appropriate actions based on its environment through the use of a symbolic representation, known as a physical symbol system, in order to exhibit intelligent behavior. It falls under the umbrella of artificial","Chunk 1: ✅ [agent] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf | Chunk 2: ✅ [agent] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf | Chunk 3: ✅ [agent] src=2022_2023 Course Outline-AI.pdf","An intelligent agent in AI is a computational system that uses symbolic representations to make informed decisions based on its environment through its programming and architecture, falling under the field of artificial intelligence, in order to exhibit intelligent behavior by manipulating symbols and determining appropriate actions. This definition encompasses both the software and structure that governs its decision-making process.","An intelligent agent in AI is a computational system that uses symbolic representations to determine appropriate actions based on its environment through manipulation of symbols, falling under the field of artificial intelligence which focuses on synthesizing the structure and programming of such systems that exhibit intelligent behavior. This definition encompasses both the architecture and software of such agents.",
8,Cosc 423 (Artificial Intelligence),notes,Explain the difference between informed and uninformed search.,"heuristic, BFS, DFS, informed, uninformed",1.0,8.51,5,5,"An informed search algorithm utilizes domain-specific knowledge, such as a heuristic function h(n), to estimate the distance or cost to the goal state in order to make more informed decisions and potentially find a solution more efficiently, while an uninformed search algorithm does not have any pri","Chunk 1: ✅ [informed, uninformed] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 2: ✅ [heuristic, informed, uninformed] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 3: ✅ [informed, uninformed] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf","An informed search algorithm utilizes a heuristic function to estimate the distance or cost to the goal state, while an uninformed search algorithm explores the search space without any prior knowledge of the goal's location. This makes informed search more efficient by guiding the search process with domain-specific knowledge, while uninformed search explores blindly without preference for states closer to the goal.","An informed search algorithm utilizes domain-specific knowledge, such as a heuristic function h(n), to estimate the distance or cost to the goal state and make more informed decisions, while an uninformed search algorithm explores the search space blindly without considering the proximity to the goal state. In contrast, an uninformed search algorithm treats all states equally and explores the search space without any preference for states closer to the goal. This difference can be seen in a pathfinding problem like reaching Bucharest in Romania, where an uninformed agent has no prior knowledge of the distance to the destination, while an informed agent knows that Sibiu is closer to the goal than Zerind in terms of distance or cost.",
9,Cosc 423 (Artificial Intelligence),notes,What are the key characteristics of fifth generation computers?,"AI, parallel, natural language, knowledge, expert",0.333,17.043,4,5,"The ""Fifth Generation"" project initiated by the Japanese government in 1981 aimed to develop massively parallel computers running Prolog, with a budget exceeding $1.3 billion in today's currency, was part of a broader effort encompassing chip design and human-interface research. Its goal was to crea","Chunk 1: ✅ [AI, parallel] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 2: ❌ [no match] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 3: ❌ [no match] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf","The Fifth Generation project in Japan, as well as similar initiatives in the US and the UK, aimed to develop intelligent computers through the use of Prolog programming language and massive parallel processing for AI applications, but ultimately failed to deliver significant AI capabilities despite initial ambitious goals and significant economic investment. Key characteristics of fifth generation computers include their parallel processing capabilities.",The ,
10,Cosc 423 (Artificial Intelligence),notes,Who is Edward Feigenbaum and what is his contribution to AI?,"Feigenbaum, expert system, knowledge, AI",0.667,28.33,5,5,"Edward Feigenbaum is a prominent figure in the field of AI and is known for his significant contribution to the development of the first expert system, Dendral, which demonstrated the potential of AI in solving complex problems in the field of science. This system, created in the 1960s, utilized kno","Chunk 1: ✅ [AI] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf | Chunk 2: ✅ [AI] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 3: ❌ [no match] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf","Edward Feigenbaum is a renowned figure in the field of AI and is widely recognized for his groundbreaking work in developing the first expert system, Dendral, which revolutionized the field by demonstrating the potential of AI in solving complex problems in various applications such as medical diagnosis and legal reasoning through knowledge engineering techniques in the 1960s. His contributions have had a lasting impact on the field, earning him the title of 'father of expert systems'.","Edward Feigenbaum is a prominent figure in the field of AI and is known for his significant contribution to the development of the first expert system, Dendral, which demonstrated the potential of AI in solving complex problems in the 1960s through the use of knowledge engineering techniques for intelligent decision-making, paving the way for the development of intelligent decision-making capabilities in various applications such as medical diagnosis and legal reasoning. This system, as mentioned in Buchanan's (2005) brief history of AI, has had a lasting impact on the field and earned him the title of 'father of expert systems.",
